state,district,mandal,village
ANDHRA PRADESH,Adilabad,Talamadugu,Khodad
ANDHRA PRADESH,Adilabad,Talamadugu,Kajjarla
ANDHRA PRADESH,Adilabad,Talamadugu,Ruyyadi
ANDHRA PRADESH,Adilabad,Talamadugu,Kothur
ANDHRA PRADESH,Adilabad,Talamadugu,Talamadugu
ANDHRA PRADESH,Adilabad,Talamadugu,Dorli
ANDHRA PRADESH,Adilabad,Talamadugu,Kappardevi
ANDHRA PRADESH,Adilabad,Talamadugu,Dehegaon
ANDHRA PRADESH,Adilabad,Talamadugu,Umrei
ANDHRA PRADESH,Adilabad,Talamadugu,Ratnapur
ANDHRA PRADESH,Adilabad,Talamadugu,Jhari
ANDHRA PRADESH,Adilabad,Talamadugu,Saknapoor
ANDHRA PRADESH,Adilabad,Talamadugu,Arli  (Khurd)
ANDHRA PRADESH,Adilabad,Talamadugu,Devapur
ANDHRA PRADESH,Adilabad,Talamadugu,Pangadpipri
ANDHRA PRADESH,Adilabad,Talamadugu,Lachampur
ANDHRA PRADESH,Adilabad,Talamadugu,Palle (Buzurg)
ANDHRA PRADESH,Adilabad,Talamadugu,Madnapoor
ANDHRA PRADESH,Adilabad,Talamadugu,Bharampur
ANDHRA PRADESH,Adilabad,Talamadugu,Nandigaon
ANDHRA PRADESH,Adilabad,Talamadugu,Palle (Khurd)
ANDHRA PRADESH,Adilabad,Gudihathnoor,Gudihathnoor
ANDHRA PRADESH,Adilabad,Gudihathnoor,Vaijapur
ANDHRA PRADESH,Adilabad,Gudihathnoor,Kamalapur
ANDHRA PRADESH,Adilabad,Gudihathnoor,Seetagondi
ANDHRA PRADESH,Adilabad,Gudihathnoor,Malkapur
ANDHRA PRADESH,Adilabad,Gudihathnoor,Tosham
ANDHRA PRADESH,Adilabad,Gudihathnoor,Lingapur
ANDHRA PRADESH,Adilabad,Gudihathnoor,Gudihathinur
ANDHRA PRADESH,Adilabad,Gudihathnoor,Machapur
ANDHRA PRADESH,Adilabad,Gudihathnoor,Dhampur
ANDHRA PRADESH,Adilabad,Gudihathnoor,Muthnur
ANDHRA PRADESH,Adilabad,Gudihathnoor,Neradigonda
ANDHRA PRADESH,Adilabad,Gudihathnoor,Mannur
ANDHRA PRADESH,Adilabad,Gudihathnoor,Dongargaon
ANDHRA PRADESH,Adilabad,Gudihathnoor,Kolhari
ANDHRA PRADESH,Adilabad,Gudihathnoor,Umri(B)
ANDHRA PRADESH,Adilabad,Gudihathnoor,Guruj
ANDHRA PRADESH,Adilabad,Gudihathnoor,Gondharkapur
ANDHRA PRADESH,Adilabad,Gudihathnoor,Rendlabori
ANDHRA PRADESH,Adilabad,Gudihathnoor,Shantapur
ANDHRA PRADESH,Adilabad,Gudihathnoor,Belluri
ANDHRA PRADESH,Adilabad,Gudihathnoor,Tejapur
ANDHRA PRADESH,Adilabad,Inderavelly,Inderavelly
ANDHRA PRADESH,Adilabad,Inderavelly,Pipri
ANDHRA PRADESH,Adilabad,Inderavelly,Devapur
ANDHRA PRADESH,Adilabad,Inderavelly,Ginnera
ANDHRA PRADESH,Adilabad,Inderavelly,Indervelly (K)
ANDHRA PRADESH,Adilabad,Inderavelly,Bursanpatar
ANDHRA PRADESH,Adilabad,Inderavelly,Gattepalle
ANDHRA PRADESH,Adilabad,Inderavelly,Dodanda
ANDHRA PRADESH,Adilabad,Inderavelly,Indervelly (B)
